gender,province,edu_level,Vote_Trudeau,Vote_others,age_group
A woman,Manitoba,4,0,1,great than 25
A woman,British Columbia,9,1,0,great than 25
A woman,Quebec,5,0,1,great than 25
A woman,Quebec,4,0,1,great than 25
A man,Quebec,6,0,1,great than 25
A man,Ontario,5,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A man,Ontario,4,0,1,great than 25
A woman,Quebec,5,0,1,great than 25
A woman,Saskatchewan,4,0,1,great than 25
A woman,Quebec,10,1,0,great than 25
A man,Ontario,9,0,1,great than 25
A man,Ontario,9,0,1,great than 25
A woman,Ontario,6,0,1,great than 25
A man,Ontario,7,0,1,great than 25
A woman,Ontario,9,0,1,great than 25
A man,Ontario,6,0,1,great than 25
A woman,Quebec,6,0,1,great than 25
A woman,Ontario,8,0,1,great than 25
A man,Ontario,3,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A man,Nova Scotia,5,0,1,great than 25
A man,Alberta,10,0,1,great than 25
A woman,Ontario,8,1,0,great than 25
A man,Ontario,7,0,1,great than 25
A man,Ontario,0,0,1,great than 25
A man,Ontario,7,1,0,great than 25
A woman,Quebec,4,0,1,great than 25
A woman,Ontario,8,0,1,great than 25
A man,Ontario,4,0,1,great than 25
A man,Ontario,10,0,1,great than 25
A man,Ontario,4,0,1,great than 25
A man,Ontario,6,0,1,great than 25
A man,Ontario,8,1,0,less than 25
A man,Ontario,8,1,0,great than 25
A woman,Ontario,4,0,1,great than 25
A man,Ontario,9,0,1,great than 25
A woman,Ontario,8,0,1,great than 25
A woman,Ontario,8,0,1,great than 25
A man,Quebec,8,1,0,great than 25
A woman,Ontario,4,1,0,less than 25
A woman,Ontario,8,0,1,great than 25
A man,Quebec,5,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A man,New Brunswick,8,0,1,great than 25
A woman,Quebec,5,0,1,great than 25
A man,Ontario,6,1,0,great than 25
A woman,Ontario,6,1,0,great than 25
A man,Ontario,8,0,1,great than 25
A man,Quebec,6,0,1,great than 25
A man,Nova Scotia,6,0,1,great than 25
A man,Quebec,8,0,1,great than 25
A woman,Quebec,4,0,1,great than 25
A man,Ontario,6,1,0,great than 25
A man,Ontario,5,0,1,great than 25
A man,Ontario,4,0,1,great than 25
A woman,Ontario,4,0,1,great than 25
